En primer lugar First of all / Firstly, I'd like to point out that...
En segundo lugar	Secondly, I'd like to add that...
En tercer lugar	Thirdly, the board of directors decided that...
Por último	Lastly/Finally, we need to consider that...
Ante todo	First and foremost, we have to ensure that...
Por último, aunque no menos importante	Last but not least, there's the issue of...
Además, Así mismo	Furthermore / Moreover, we are concerned about...
Además de	In addition to these concerns, there are other aspects that...
Es más, además	What's more, I believe that this radical change will lead to...
No solo... sino también	Not only teachers but also parents are criticising...
Tanto... como	Both the government and the trade unions propose...
Ni... ni	Neither the government nor the trade unions...
Encima	On top of that, they are suing the company for...
A no ser que	Unless things get worse...(Do not use in negative)
Siempre y cuando	Provided that / As long as there aren't any more setbacks...
En caso de que...	We will contact the authorities in case there are any problems with...
Aunque	Although / Even though there were some difficulties...
Aunque / incluso si	Even if they cancel the conference... (hypothetical situation, subjunctive)
A pesar de	In spite of / Despite the confusion, they were able to...
Independientemente de	Regardless of whether he agrees...
Sin embargo	That's an interesting point, however, I think...
No obstante / aún así There are some problems. Nevertheless, we're making progress
Pero / sin embargo	Yet, at the same time, it's important to keep in mind...
Mientras que	House prices in this aera are rising, whereas / while in other areas...
Por un lado... por otro lado	On one hand, we'd love to break into the Asian market, but on the other hand...
A diferencia de	Unlike other restaurants, this new concept focuses on...
Porque	Many people choose this career path because...
A causa de / por	The road was closed because of snow.
Dado que	This material is very durable, since / as it's resistant to...
Debido a	I was late due to the delay
Debido a que	I was late due to the fact that there was...
Por eso	That's why this issue is so important
Como resultado	As a result, interest rates have gone up, whereas...
Por lo tanto	Therefore / Thus / Hence, it's important to take measures...
Como consecuencia	Consequently, more and more people believe that...
Al contrario	It wasn't boring. On the contrary, it was fascinating. Quite the opposite! I just woke up
Con relación a, con respecto a	Regarding your question, I don't know the answer. Call me regarding the project tomorrow
