Liso	Smooth
Materias primas	Raw materials
Elogio	Praise
Extrovertido	Outgoing
Alegrarse	To be glad
Genial	Terrific
Acordar, coincidir (algo/tema)	To agree on
Acordar, coincidir (alguien)	To agree with
Acordar, coincidir (acción)	To agree to
Verificar, comprobar	Verify, Check on
No hacer caso	To ignore
Apreciado	Well-liked
Compromiso	Commitment
Habilidad	Ability, skill, expertise
Hasta cierto punto	To a certain extent
Apostar	To bet
Mejorar, aumentar	Enhance
Confundirse	To mix up
Reunirse	To get together, to meet
Quedar/Verse	To meet up
Asustar	To scare
Rico, pudiente, abundante	Wealthy
